Document Frequencies:
(0, 11)
(1, 41)
(2, 35)
(3, 7)
(4, 1)
(5, 12)
(6, 86)
(7, 7)
(8, 16)
(9, 93)
(10, 31)
(11, 4)
(12, 85)
(13, 86)
(14, 17)
(15, 29)
(16, 11)
(17, 1)
(18, 25)
(19, 9)
(20, 10)
(21, 70)
(22, 1)
(23, 3)
(24, 3)
(25, 1)
(26, 48)
(27, 1)
(28, 7)
(29, 17)
(30, 2)
(31, 7)
(32, 3)
(33, 54)
(34, 17)
(35, 102)
(36, 38)
(37, 70)
(38, 47)
(39, 57)
(40, 13)
(41, 6)
(42, 5)
(43, 59)
(44, 8)
(45, 9)
(46, 16)
(47, 6)
(48, 3)
(49, 5)
(50, 9)
(51, 6)
(52, 2)
(53, 2)
(54, 1)
(55, 16)
(56, 6)
(57, 31)
(58, 7)
(59, 41)
(60, 39)
(61, 103)
(62, 28)
(63, 34)
(64, 1)
(65, 2)
(66, 130)
(67, 21)
(68, 18)
(69, 16)
(70, 3)
(71, 6)
(72, 18)
(73, 40)
(74, 14)
(75, 3)
(76, 7)
(77, 8)
(78, 3)
(79, 23)
(80, 1)
(81, 24)
(82, 13)
(83, 51)
(84, 4)
(85, 48)
(86, 2)
(87, 7)
(88, 44)
(89, 2)
(90, 24)
(91, 15)
(92, 5)
(93, 2)
(94, 2)
(95, 29)
(96, 13)
(97, 44)
(98, 25)
(99, 1)
(100, 36)
(101, 155)
(102, 47)
(103, 4)
(104, 1)
(105, 2)
(106, 1)
(107, 18)
(108, 3)
(109, 3)
(110, 1)
(111, 1)
(112, 4)
(113, 4)
(114, 1)
(115, 1)
(116, 1)
(117, 4)
(118, 1)
(119, 1)
(120, 131)
(121, 96)
(122, 86)
(123, 60)
(124, 4)
(125, 66)
(126, 50)
(127, 23)
(128, 3)
(129, 8)
(130, 5)
(131, 1)
(132, 1)
(133, 14)
(134, 11)
(135, 85)
(136, 79)
(137, 2)
(138, 90)
(139, 4)
(140, 71)
(141, 17)
(142, 5)
(143, 28)
(144, 11)
(145, 34)
(146, 4)
(147, 2)
(148, 1)
(149, 9)
(150, 9)
(151, 20)
(152, 17)
(153, 4)
(154, 5)
(155, 1)
(156, 12)
(157, 18)
(158, 1)
(159, 94)
(160, 29)
(161, 24)
(162, 4)
(163, 108)
(164, 2)
(165, 45)
(166, 5)
(167, 22)
(168, 76)
(169, 86)
(170, 53)
(171, 62)
(172, 34)
(173, 23)
(174, 15)
(175, 3)
(176, 2)
(177, 11)
(178, 8)
(179, 13)
(180, 1)
(181, 1)
(182, 7)
(183, 1)
(184, 18)
(185, 8)
(186, 77)
(187, 77)
(188, 23)
(189, 81)
(190, 41)
(191, 2)
(192, 1)
(193, 17)
(194, 1)
(195, 1)
(196, 1)
(197, 1)
(198, 24)
(199, 41)
(200, 1)
(201, 3)
(202, 23)
(203, 1)
(204, 51)
(205, 1)
(206, 18)
(207, 21)
(208, 1)
(209, 2)
(210, 1)
(211, 15)
(212, 2)
(213, 1)
(214, 11)
(215, 2)
(216, 178)
(217, 30)
(218, 13)
(219, 3)
(220, 44)
(221, 18)
(222, 21)
(223, 1)
(224, 1)
(225, 22)
(226, 4)
(227, 45)
(228, 1)
(229, 13)
(230, 68)
(231, 3)
(232, 1)
(233, 25)
(234, 57)
(235, 2)
(236, 1)
(237, 7)
(238, 1)
(239, 31)
(240, 29)
(241, 9)
(242, 2)
(243, 41)
(244, 25)
(245, 1)
(246, 24)
(247, 62)
(248, 4)
(249, 1)
(250, 13)
(251, 17)
(252, 52)
(253, 4)
(254, 11)
(255, 3)
(256, 1)
(257, 1)
(258, 45)
(259, 15)
(260, 3)
(261, 15)
(262, 18)
(263, 6)
(264, 30)
(265, 56)
(266, 3)
(267, 1)
(268, 1)
(269, 109)
(270, 1)
(271, 49)
(272, 2)
(273, 15)
(274, 1)
(275, 1)
(276, 33)
(277, 8)
(278, 9)
(279, 49)
(280, 1)
(281, 25)
(282, 33)
(283, 11)
(284, 15)
(285, 1)
(286, 70)
(287, 11)
(288, 5)
(289, 22)
(290, 5)
(291, 26)
(292, 1)
(293, 1)
(294, 7)
(295, 19)
(296, 1)
(297, 15)
(298, 77)
(299, 1)
(300, 2)
(301, 58)
(302, 12)
(303, 78)
(304, 17)
(305, 5)
(306, 1)
(307, 1)
(308, 2)
(309, 59)
(310, 50)
(311, 17)
(312, 63)
(313, 23)
(314, 7)
(315, 1)
(316, 1)
(317, 40)
(318, 15)
(319, 36)
(320, 20)
(321, 18)
(322, 14)
(323, 2)
(324, 1)
(325, 33)
(326, 1)
(327, 1)
(328, 3)
(329, 15)
(330, 25)
(331, 9)
(332, 28)
(333, 23)
(334, 1)
(335, 30)
(336, 22)
(337, 4)
(338, 2)
(339, 2)
(340, 5)
(341, 33)
(342, 6)
(343, 2)
(344, 27)
(345, 3)
(346, 15)
(347, 1)
(348, 2)
(349, 1)
(350, 38)
(351, 1)
(352, 2)
(353, 19)
(354, 10)
(355, 2)
(356, 4)
(357, 30)
(358, 14)
(359, 28)
(360, 11)
(361, 11)
(362, 24)
(363, 1)
(364, 51)
(365, 49)
(366, 21)
(367, 8)
(368, 5)
(369, 2)
(370, 6)
(371, 29)
(372, 31)
(373, 21)
(374, 3)
(375, 8)
(376, 36)
(377, 1)
(378, 3)
(379, 26)
(380, 7)
(381, 22)
(382, 1)
(383, 2)
(384, 6)
(385, 21)
(386, 1)
(387, 43)
(388, 16)
(389, 33)
(390, 6)
(391, 47)
(392, 3)
(393, 2)
(394, 3)
(395, 13)
(396, 3)
(397, 11)
(398, 16)
(399, 2)
(400, 18)
(401, 8)
(402, 19)
(403, 12)
(404, 3)
(405, 2)
(406, 2)
(407, 20)
(408, 3)
(409, 1)
(410, 7)
(411, 6)
(412, 5)
(413, 78)
(414, 4)
(415, 7)
(416, 23)
(417, 14)
(418, 43)
(419, 8)
(420, 88)
(421, 18)
(422, 1)
(423, 3)
(424, 27)
(425, 46)
(426, 3)
(427, 18)
(428, 11)
(429, 12)
